our_code,supplier_code,description,pack_size_ea
H100211,,Cup PLA FSC SW (80dia) 280ml 8oz Moore Wilson,"1,000"
H100216,,Cup Disp FSC SW (90dia) 300ml Kiwiana,"1,000"
H100217,,Cup Disp FSC  SW (90dia) 400ml Kiwiana,"1,000"
H100218,,Cup Disp FSC SW (90dia) 500ml Kiwiana,"1,000"
H100219,,Lid Domed Sugarcane UniLid (90dia),"1,000"
H100220,,Cup RPET Cold 520ml 96dia Wild Bean,"1,000"
H100221,,Lid Domed RPET 96dia Straw Slot,"1,000"
H100222,,Cup PLA FSC  SW (80dia) 8oz Fuel Espresso,"1,000"
H100223,,Cup PLA FSC SW (80dia) 12oz Fuel Espresso,"1,000"
H100226,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Plant Culture S,500
H100230,,Ctnr Paper FSC  Yoghurt 32oz/ 900g Raglan Plant Culture,500
H100237,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Food Co Vanilla,500
H100238,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Food Co Greek N,500
H100239,,Lid Paper FSC Stackable 97dia for 400g Raglan Food Co,500
H100246,,Cup PLA FSC  SW (80dia) 225ml 6oz Empire,"1,000"
H100247,,Cup PLA FSC SW (80dia) 280ml 8oz Empire,"1,000"
H100248,,Cup PLA FSC SW (90dia) 400ml 12oz Empire,"1,000"
H100250,,Cup Paper FSC Cold 7oz Bascik,"1,000"
H100251,,Food Container Paper 12oz Seoulmate,500
H100258,,Tray MF FSCR 2-Cup Carrier Gilmours,100
H100259,,Tray MF FSCR  4-Cup Carrier Gilmours,50
H100261,,Lid Flat PP 150mm 20/24/32oz PLA Bowl,200
H100262,,Lid Flat PP 115mm 12/16/24oz Bowl,"1,000"
H100263,,Cup Paper FSC  Cold 7oz Dispersion Home Compostable,"1,000"
H100264,,Flat Lid PP 90mm to fit 6/8oz Containers,"1,000"
H100266,,Cup Disp FSC SW (90dia) 300ml Kiwirail,"1,000"
H100267,,Cup Disp FSC SW (90dia) 400ml Kiwirail,"1,000"
H100268,,Cup Handle PLA FSC  SW (80dia) 285ml White,"1,000"
H100269,,Cup PE FSC Ripple (90dia) 8oz Ferg Baker R,500
H100270,,Cup PE FSC Ripple (90dia) 12oz Ferg Baker R,500
H100271,,Regular Fry Pod FSC Popeyes R,"1,200"
H100272,,Large Fry Pod FSC for Popeyes R,960
H100274,,Cup PLA FSC SW (86.5dia) 400ml The Grocer,"1,000"
H100275,,Bowl PLA Future Friendly Seoul Mate Black 32oz,200
H100280,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100281,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100282,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100283,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100284,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100285,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100286,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100291,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100293,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100294,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Ambr,500
H100295,,Lid Paper FSC  Std 97dia for 16oz/472ml Duck Island Boy,500
H100296,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Milk,500
H100297,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Coff,500
H100298,,Lid Paper FSC  Std 97dia for 16oz/472ml Duck Island Fai,500
H100299,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Peca,500
H100300,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Pepp,500
H100301,,Lid Paper FSC  Std 97dia for 16oz/472ml Duck Island Sal,500
H100305,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Pean,500
H100306,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Salt,500
H100308,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Whit,500
H100309,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100310,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Choc,500
H100311,,Large Fry Pod Kraft for Burger Wisconsin R,"1,000"
H100322,,Cup PLA FSC  DW (86.5dia) 400ml Fairlie Bakehouse,500
H100323,,Cup Paper FSC Hot PLA SW 400ml Black Gilmours 25pk,500
H100324,,Cup Paper FSC Hot PLA SW 485ml Black Gilmours,375
H100327,,Lid Domed Sugarcane UniLid (80dia),"1,000"
H100330,,Box FSC Small LA Kitchen 9650 Popeyes R,450
H100331,,Box FSC 9inch LA Kitchen 9774 Popeyes R,150
H100332,,Cup Disp FSC SW (80dia) 280ml 8oz Dispatch,"1,000"
H100333,,Cup Disp FSC SW (80dia) 335ml 10oz Dispatch,"1,000"
H100334,,Cup Disp FSC SW (90dia) 400ml 12oz Dispatch,"1,000"
H100335,,Cup Disp FSC SW (80dia) 225ml 6oz C4,"1,000"
H100336,,Cup Disp FSC SW (80dia) 280ml 8oz C4,"1,000"
H100337,,Cup Disp FSC SW (80dia) 335ml 10oz C4,"1,000"
H100338,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/473ml Grande C,500
H100339,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/473ml Grande,500
H100340,,Lid Paper FSC  Std 97dia for 16oz/470ml Grande Chocolat,500
H100341,,Lid Paper FSC Std 97dia for 16oz/470ml Grande Vanilla,500
H100342,,Cup rPET Cold 250ml 78dia Pour Line,"1,000"
H100344,,Cup Disp FSC SW (90dia) 400ml 12oz C4,"1,000"
H100346,,Bowl Sugarcane Future Friendly 150mm 50pk,400
H100347,,Plate Sugarcane Future Friendly 180mm 50pk,400
H100348,,Plate Sugarcane Future Friendly 230mm 50pk,400
H100349,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100350,,Lid Paper FSC  Std 97dia for 16oz/472ml Duck Island Gen,500
H100351,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100352,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Vani,500
H100353,,Cup RPET Cold 420ml 96dia Plain,"1,000"
H100354,,Cup RPET Cold 520ml 96dia Plain,"1,000"
H100355,,Lid Flat RPET 96dia Straw Slot,"1,000"
H100356,,Bowl Sugarcane Gilmours 180mm 50pk,400
H100357,,Plate Sugarcane Gilmours 170mm 50pk,400
H100358,,Plate Sugarcane Gilmours 220mm 50pk,400
H100360,,Cup SW Disp FSC (90dia) 300ml 8oz Ninja Cafe,"1,000"
H100361,,Cup SW Disp FSC  (90dia) 400ml 12oz Ninja Cafe,"1,000"
H100362,,Cup SW Disp FSC  (90dia) 500ml 16oz Ninja Cafe,"1,000"
